id, ex_name,count,machine_id,name,disk_count,speed,cost,size,name,ram,cpu_count,speed,cost, time, cost
102,spark,16,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,465.18,1.054408
103,spark,20,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,432.32,1.22490666667
104,spark,28,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,441.84,1.752632
105,spark,4,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,5149.76,2.91819733333
106,spark,8,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,675.19,0.765215333333
107,terasort-05,12,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,1248.44,1.6479408
108,terasort-05,24,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,576.01,1.5206664
109,terasort-05,28,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,535.69,1.6499252
110,terasort-05,12,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,1130.8,3.53563466667
111,terasort-05,16,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,524.6,1.65074133333
112,terasort-05,16,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,1843.55,2.18767933333
113,terasort-05,16,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,973.51,1.7912584
114,terasort-05,24,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,598.76,1.6525776
115,terasort-05,12,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,727.79,2.18337
116,terasort-10,12,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,1285.82,1.6972824
117,terasort-10,24,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,616.43,1.6273752
118,terasort-10,28,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,520.87,1.6042796
119,terasort-10,12,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,1203.27,3.7622242
120,terasort-10,16,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,547.52,1.72286293333
121,terasort-10,16,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,1972.36,2.34053386667
122,terasort-10,16,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,928.5,1.70844
123,terasort-10,24,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,617.23,1.7035548
124,terasort-10,12,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,743.66,2.23098
125,terasort-100,28,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,489.76,1.5084608
126,terasort-100,12,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,1069.69,3.34456406667
127,terasort-100,12,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,1148.07,1.5843366
128,terasort-100,12,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,1527.44,2.596648
129,terasort-125,12,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,1417.61,1.8712452
130,terasort-125,28,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,618.46,1.9048568
131,terasort-125,12,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,1333.91,4.17069193333
132,terasort-125,12,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,1536.89,2.1209082
133,terasort-125,12,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,1942.26,3.301842
134,terasort-150,12,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,1699.75,2.24367
135,terasort-150,28,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,693.05,2.134594
136,terasort-150,12,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,1651.54,5.16381506667
137,terasort-150,12,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,1831.07,2.5268766
138,terasort-150,12,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,2262.35,3.845995
139,terasort-20,12,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,1399.16,1.8468912
140,terasort-20,24,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,698.45,1.843908
141,terasort-20,28,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,574.12,1.7682896
142,terasort-20,12,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,1263.53,3.95063713333
143,terasort-20,16,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,602.43,1.8956464
144,terasort-20,16,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,2114.61,2.5093372
145,terasort-20,16,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,1022.17,1.8807928
146,terasort-20,24,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,735.78,2.0307528
147,terasort-20,12,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,831.48,2.49444
148,terasort-40,12,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,1623.28,2.1427296
149,terasort-40,24,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,758.93,2.0035752
150,terasort-40,28,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,649.06,1.9991048
151,terasort-40,12,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,1520.16,4.7530336
152,terasort-40,16,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,689.82,2.1706336
153,terasort-40,16,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,2456.93,2.91555693333
154,terasort-40,16,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,1176.1,2.164024
155,terasort-40,24,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,799.29,2.2060404
156,terasort-40,12,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,973.85,2.92155
157,terasort-50,12,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,562.98,0.7431336
158,terasort-50,28,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,252.69,0.7782852
159,terasort-50,12,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,565.28,1.76744213333
160,terasort-50,12,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,583.42,0.8051196
161,terasort-50,12,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,809.62,1.376354
162,terasort-640,28,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,3772.29,11.6186532
163,terasort-75,12,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,872.6,1.151832
164,terasort-75,28,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,367.97,1.1333476
165,terasort-75,12,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,808.4,2.52759733333
166,terasort-75,12,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,935.85,1.291473
167,terasort-75,12,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,1123.09,1.909253
168,terasort-80,12,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,1984.65,2.619738
169,terasort-80,24,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,983.43,2.5962552
170,terasort-80,28,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,834.4,2.569952
171,terasort-80,12,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,2033.22,6.3572012
172,terasort-80,16,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,868.27,2.73215626667
173,terasort-80,16,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,3121.63,3.70433426667
174,terasort-80,16,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,1522.98,2.8022832
175,terasort-80,24,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,1048.84,2.8947984
176,terasort-80,12,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,1214.54,3.64362
177,terasort,10,1,ebs,2,slow,0.12,500,c4.2xlarge,15,8,fast,0.552,898.59,1.677368
178,terasort,12,1,ebs,2,slow,0.12,500,c4.2xlarge,15,8,fast,0.552,730.94,1.6373056
179,terasort,14,1,ebs,2,slow,0.12,500,c4.2xlarge,15,8,fast,0.552,645.58,1.68711573333
180,terasort,4,1,ebs,2,slow,0.12,500,c4.2xlarge,15,8,fast,0.552,2553.74,1.90679253333
181,terasort,6,1,ebs,2,slow,0.12,500,c4.2xlarge,15,8,fast,0.552,1641.93,1.8389616
182,terasort,8,1,ebs,2,slow,0.12,500,c4.2xlarge,15,8,fast,0.552,1204.09,1.79810773333
183,terasort,16,2,ebs,2,slow,0.12,500,c4.large,3.75,2,fast,0.138,1602.76,1.83783146667
184,terasort,24,2,ebs,2,slow,0.12,500,c4.large,3.75,2,fast,0.138,1020.73,1.7556556
185,terasort,32,2,ebs,2,slow,0.12,500,c4.large,3.75,2,fast,0.138,778.2,1.784672
186,terasort,40,2,ebs,2,slow,0.12,500,c4.large,3.75,2,fast,0.138,620.44,1.77859466667
187,terasort,48,2,ebs,2,slow,0.12,500,c4.large,3.75,2,fast,0.138,528.26,1.8172144
188,terasort,56,2,ebs,2,slow,0.12,500,c4.large,3.75,2,fast,0.138,463.58,1.86050106667
189,terasort,8,2,ebs,2,slow,0.12,500,c4.large,3.75,2,fast,0.138,3516.59,2.01617826667
190,terasort,16,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,836.75,1.47268
191,terasort,20,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,681.19,1.498618
192,terasort,24,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,584.11,1.5420504
193,terasort,28,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,484.68,1.4928144
194,terasort,4,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,4021.93,1.7696492
195,terasort,8,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,1771.47,1.5588936
196,terasort,10,12,local,3,fast,0,500,i2.2xlarge,61,8,slow,1.876,703.4,3.66549555556
197,terasort,12,12,local,3,fast,0,500,i2.2xlarge,61,8,slow,1.876,548.22,3.4282024
